#dataset: GeoCSV 2.0
#delimiter: |
#field_unit: unitless|unitless|unitless|unitless|unitless|hertz|ISO_8601|ISO_8601
#field_type: string|string|string|string|string|float|datetime|datetime
Network|Station|Location|Channel|Quality|SampleRate|Earliest|Latest
IU|COLA|10|LH1|M|1.0|2023-07-11T17:11:10.069553Z|2023-12-10T18:22:13.069538Z
IU|COLA|10|LH1|M|1.0|2023-12-10T18:48:24.069536Z|2023-12-20T18:38:14.069538Z
IU|COLA|10|LH1|M|1.0|2023-12-20T18:45:56.069538Z|2024-07-01T00:00:00.000000Z
IU|COLA|10|LH2|M|1.0|2020-01-01T00:00:00.000000Z|2020-01-09T13:53:09.069538Z
IU|COLA|10|LH2|M|1.0|2020-01-09T13:54:46.069538Z|2020-03-10T23:10:43.069538Z
IU|COLA|10|LH2|M|1.0|2020-03-10T23:13:28.069538Z|2020-03-24T23:37:13.069539Z
IU|COLA|10|LH2|M|1.0|2020-03-25T00:00:00.069541Z|2020-05-13T18:17:29.069538Z
IU|COLA|10|LH2|M|1.0|2020-05-13T18:43:56.069539Z|2020-06-22T15:15:43.069538Z
IU|COLA|10|LH2|M|1.0|2020-06-22T15:16:17.069553Z|2020-08-28T21:54:49.069536Z
IU|COLA|10|LH2|M|1.0|2020-08-28T21:56:19.069550Z|2021-01-13T12:36:41.069538Z
IU|COLA|10|LH2|M|1.0|2021-01-13T23:38:41.069539Z|2021-07-09T02:53:58.069538Z
IU|COLA|10|LH2|M|1.0|2021-07-09T02:55:51.069538Z|2022-01-09T06:42:55.069538Z
IU|COLA|10|LH2|M|1.0|2022-01-09T06:46:36.069538Z|2022-11-18T05:56:42.069538Z
IU|COLA|10|LH2|M|1.0|2022-11-18T15:21:37.069536Z|2023-07-10T18:02:11.069534Z
IU|COLA|10|LH2|M|1.0|2023-07-10T18:26:28.069538Z|2023-07-10T18:38:01.069538Z
IU|COLA|10|LH2|M|1.0|2023-07-10T18:38:05.069548Z|2023-07-10T19:20:22.069538Z
IU|COLA|10|LH2|M|1.0|2023-07-10T19:20:58.069552Z|2023-07-11T17:10:17.069538Z
IU|COLA|10|LH2|M|1.0|2023-07-11T17:11:10.069553Z|2023-12-10T18:20:00.069538Z
IU|COLA|10|LH2|M|1.0|2023-12-10T18:46:37.069538Z|2023-12-20T18:37:17.069538Z
IU|COLA|10|LH2|M|1.0|2023-12-20T18:45:04.069538Z|2024-07-01T00:00:00.000000Z
IU|COLA|10|LHZ|M|1.0|2020-01-01T00:00:00.000000Z|2020-01-09T13:53:10.069538Z
IU|COLA|10|LHZ|M|1.0|2020-01-09T13:54:46.069538Z|2020-03-10T23:12:51.069538Z
IU|COLA|10|LHZ|M|1.0|2020-03-10T23:13:28.069538Z|2020-03-24T17:23:29.069538Z
IU|COLA|10|LHZ|M|1.0|2020-03-24T17:28:10.069538Z|2020-03-24T23:38:25.069538Z
IU|COLA|10|LHZ|M|1.0|2020-03-25T00:00:00.069539Z|2020-05-13T18:19:22.069538Z
IU|COLA|10|LHZ|M|1.0|2020-05-13T18:44:19.069539Z|2020-06-22T15:15:43.069538Z
IU|COLA|10|LHZ|M|1.0|2020-06-22T15:16:17.069553Z|2020-08-28T21:54:49.069538Z
IU|COLA|10|LHZ|M|1.0|2020-08-28T21:56:19.069550Z|2021-01-13T12:36:20.069538Z
IU|COLA|10|LHZ|M|1.0|2021-01-13T23:38:41.069539Z|2021-07-09T02:55:24.069538Z
IU|COLA|10|LHZ|M|1.0|2021-07-09T02:55:51.069538Z|2022-01-09T06:42:58.069538Z
